Area Year,Area,Year,Cases,Rate
Falls2018,Falls,2018,34,196.1
Falls2016,Falls,2016,32,184.9
Falls2014,Falls,2014,22,127.8
Falls2015,Falls,2015,20,116.1
Fannin2018,Fannin,2018,29,82.2
Fannin2017,Fannin,2017,27,78.1
Fannin2015,Fannin,2015,25,74.6
Fannin2016,Fannin,2016,16,47.2
Fannin2014,Fannin,2014,15,44.6
Fayette2017,Fayette,2017,26,103.3
Fayette2018,Fayette,2018,21,82.8
Fayette2016,Fayette,2016,20,79.8
Fayette2014,Fayette,2014,12,48.4
Fayette2015,Fayette,2015,7,28
Fisher2017,Fisher,2017,6,153.7
Fisher2018,Fisher,2018,5,130.2
Fisher2016,Fisher,2016,,
Fisher2015,Fisher,2015,,
Fisher2014,Fisher,2014,,
Floyd2016,Floyd,2016,8,136.4
Floyd2015,Floyd,2015,8,136.7
Floyd2018,Floyd,2018,6,102.8
Floyd2017,Floyd,2017,5,85.3
Floyd2014,Floyd,2014,,
Foard2018,Foard,2018,0,0
Foard2016,Foard,2016,0,0
Foard2014,Foard,2014,0,0
Foard2017,Foard,2017,,
Foard2015,Foard,2015,,
Fort Bend2018,Fort Bend,2018,794,100.8
Fort Bend2017,Fort Bend,2017,706,92.2
Fort Bend2016,Fort Bend,2016,658,88.5
Fort Bend2015,Fort Bend,2015,513,71.7
Fort Bend2014,Fort Bend,2014,367,53.6
Franklin2017,Franklin,2017,23,213.4
Franklin2016,Franklin,2016,13,121.8
Franklin2014,Franklin,2014,11,104.1
Franklin2018,Franklin,2018,10,92.9
Franklin2015,Franklin,2015,9,84.9
Freestone2016,Freestone,2016,18,91.5
Freestone2018,Freestone,2018,14,70.7
Freestone2017,Freestone,2017,14,71.2
Freestone2015,Freestone,2015,11,55.7
Freestone2014,Freestone,2014,9,45.7
Frio2014,Frio,2014,42,221.7
Frio2015,Frio,2015,24,124.6
Frio2018,Frio,2018,21,106
Frio2017,Frio,2017,13,66.4
Frio2016,Frio,2016,9,46.5
Gaines2018,Gaines,2018,9,43.1
Gaines2014,Gaines,2014,8,41.3
Gaines2017,Gaines,2017,6,29.1
Gaines2016,Gaines,2016,5,24.4
Gaines2015,Gaines,2015,,
Galveston2018,Galveston,2018,469,138.8
Galveston2017,Galveston,2017,445,133.1
Galveston2016,Galveston,2016,405,123.2
Galveston2015,Galveston,2015,342,106.5
Galveston2014,Galveston,2014,251,80.1
Garza2018,Garza,2018,11,167.2
Garza2014,Garza,2014,11,170.4
Garza2017,Garza,2017,9,137.2
Garza2016,Garza,2016,6,92.3
Garza2015,Garza,2015,,
Gillespie2016,Gillespie,2016,16,60.9
Gillespie2017,Gillespie,2017,14,52.8
Gillespie2018,Gillespie,2018,10,37.3
Gillespie2015,Gillespie,2015,10,38.5
Gillespie2014,Gillespie,2014,6,23.5
Glasscock2018,Glasscock,2018,0,0
Glasscock2017,Glasscock,2017,0,0
Glasscock2014,Glasscock,2014,0,0
Glasscock2016,Glasscock,2016,,
Glasscock2015,Glasscock,2015,,
Goliad2016,Goliad,2016,11,146.5
Goliad2018,Goliad,2018,9,118.7
Goliad2015,Goliad,2015,9,119.8
Goliad2017,Goliad,2017,7,92.7
Goliad2014,Goliad,2014,,
Gonzales2018,Gonzales,2018,27,129.6
Gonzales2017,Gonzales,2017,17,81.7
Gonzales2014,Gonzales,2014,15,73.7
Gonzales2015,Gonzales,2015,14,68.2
Gonzales2016,Gonzales,2016,13,62.4
Gray2018,Gray,2018,24,109.6
Gray2014,Gray,2014,20,85.3
Gray2017,Gray,2017,18,81.4
Gray2015,Gray,2015,18,77.4
Gray2016,Gray,2016,9,39.6
Grayson2016,Grayson,2016,196,152.7
Grayson2017,Grayson,2017,192,146.3
Grayson2015,Grayson,2015,174,138.5
Grayson2018,Grayson,2018,133,99.3
Grayson2014,Grayson,2014,102,82.5
Gregg2016,Gregg,2016,381,308.4
Gregg2015,Gregg,2015,368,297
Gregg2018,Gregg,2018,329,266
Gregg2014,Gregg,2014,325,263.9
Gregg2017,Gregg,2017,297,241.2
Grimes2018,Grimes,2018,40,141
Grimes2014,Grimes,2014,40,148.1
Grimes2017,Grimes,2017,39,139.4
Grimes2015,Grimes,2015,36,131.8
Grimes2016,Grimes,2016,25,90.9
Guadalupe2018,Guadalupe,2018,135,82.5
Guadalupe2017,Guadalupe,2017,100,62.6
Guadalupe2014,Guadalupe,2014,82,55.8
Guadalupe2016,Guadalupe,2016,73,47.2
Guadalupe2015,Guadalupe,2015,55,36.5
Hale2015,Hale,2015,74,217.2
Hale2018,Hale,2018,69,204
Hale2016,Hale,2016,54,158.1
Hale2017,Hale,2017,47,138.1
Hale2014,Hale,2014,43,124.8
Hall2018,Hall,2018,5,165.1
Hall2014,Hall,2014,0,0
Hall2017,Hall,2017,,
Hall2016,Hall,2016,,
Hall2015,Hall,2015,,
Hamilton2017,Hamilton,2017,7,83.4
Hamilton2018,Hamilton,2018,5,58.9
Hamilton2016,Hamilton,2016,,
Hamilton2015,Hamilton,2015,,
Hamilton2014,Hamilton,2014,,
Hansford2018,Hansford,2018,,
Hansford2017,Hansford,2017,,
Hansford2016,Hansford,2016,,
Hansford2015,Hansford,2015,,
Hansford2014,Hansford,2014,,
Hardeman2018,Hardeman,2018,5,127.5
Hardeman2014,Hardeman,2014,0,0
Hardeman2017,Hardeman,2017,,
Hardeman2016,Hardeman,2016,,
Hardeman2015,Hardeman,2015,,
Hardin2017,Hardin,2017,46,80.5
Hardin2016,Hardin,2016,46,81.8
Hardin2015,Hardin,2015,44,78.9
Hardin2018,Hardin,2018,26,45.4
Hardin2014,Hardin,2014,25,45
Harris2018,Harris,2018,"8,730",185.8
Harris2017,Harris,2017,"8,448",181.1
Harris2016,Harris,2016,"8,408",181.6
Harris2015,Harris,2015,"7,515",164.7
Harris2014,Harris,2014,"7,193",161.3
Harrison2016,Harrison,2016,128,192.1
Harrison2018,Harrison,2018,126,188.8
Harrison2017,Harrison,2017,113,169.8
Harrison2015,Harrison,2015,92,137.9
Harrison2014,Harrison,2014,86,129.1
Hartley2018,Hartley,2018,0,0
Hartley2014,Hartley,2014,0,0
Hartley2017,Hartley,2017,,
Hartley2016,Hartley,2016,,
Hartley2015,Hartley,2015,,
Haskell2016,Haskell,2016,9,155.3
Haskell2017,Haskell,2017,6,103.8
Haskell2018,Haskell,2018,5,86
Haskell2014,Haskell,2014,5,86.1
Haskell2015,Haskell,2015,,
Hays2017,Hays,2017,276,128.8
Hays2018,Hays,2018,252,113.2
Hays2016,Hays,2016,252,123.3
Hays2015,Hays,2015,169,86.8
Hays2014,Hays,2014,149,80.6
Hemphill2016,Hemphill,2016,0,0
Hemphill2018,Hemphill,2018,,
Hemphill2017,Hemphill,2017,,
Hemphill2015,Hemphill,2015,,
Hemphill2014,Hemphill,2014,,
Henderson2018,Henderson,2018,137,166.5
Henderson2017,Henderson,2017,99,122.1
Henderson2015,Henderson,2015,79,99.4
Henderson2016,Henderson,2016,75,93.6
Henderson2014,Henderson,2014,53,66.8
Hidalgo2017,Hidalgo,2017,524,61
Hidalgo2018,Hidalgo,2018,458,52.9
Hidalgo2016,Hidalgo,2016,435,51.1
Hidalgo2014,Hidalgo,2014,423,50.9
Hidalgo2015,Hidalgo,2015,314,37.3
Hill2017,Hill,2017,48,134
Hill2014,Hill,2014,32,92
Hill2015,Hill,2015,30,86
Hill2018,Hill,2018,26,71.5
Hill2016,Hill,2016,23,65.4
Hockley2018,Hockley,2018,47,204.5
Hockley2015,Hockley,2015,40,171.5
Hockley2017,Hockley,2017,35,152.2
Hockley2014,Hockley,2014,28,119.3
